"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2006","27.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2007","27.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2008","27.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2009","27.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2010","27.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2011","27.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2012","27.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2013","27.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2014","27.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2015","27.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2016","27.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2017","27.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2018","27.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2019","28.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","031","AZE","Azerbaijan","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2005","25.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2006","25.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2007","25.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2008","26.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2009","26.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2010","26.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2011","26.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2012","26.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2013","27.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2014","27.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2015","27.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2016","27.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2017","27.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2018","28.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2019","28.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","112","BLR","Belarus","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2005","29.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2006","30.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2007","30.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2008","30.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2009","31.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2010","31.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2011","31.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2012","31.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2013","31.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2014","32.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2015","32.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2016","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2017","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2018","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2019","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","056","BEL","Belgium","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2005","28.1",
