"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2007","..",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2008","..",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2009","..",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2010","31.3",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2011","31.8",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2012","32.3",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2013","32.3",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2014","32.5",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2015","32.7",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2016","33.3",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2017","32.9",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2018","33.2",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","020","AND","Андорра","2019","32.8",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2005","22.7",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2006","22.9",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2007","23.0",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2008","23.1",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2009","23.0",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2010","23.3",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2011","23.5",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2012","23.8",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2013","24.1",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2014","24.3",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2015","24.4",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2016","24.7",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2017","24.8",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2018","25.1",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","051","ARM","Армения","2019","25.2",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2005","23.9",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2006","24.0",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2007","24.2",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2008","24.4",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2009","24.6",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2010","24.9",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2011","25.1",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2012","25.2",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2013","25.4",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2014","25.7",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2015","26.0",
